"STUDENT_NUMBER","GRADE_LEVEL","WEEKHOURS"
119238,12,28.9767992424242
125742,10,24.4176136363636
123258,12,19.0648674242424
122700,12,20.8233901515152
121037,10,25.9588068181818
120147,12,20.1041666666667
121542,9,24.0648674242424
126432,9,25.7457386363636
126483,9,26.4559659090909
126446,9,26.7211174242424
121670,9,25.4403409090909
121551,9,24.5383522727273
123172,9,28.1510416666667
125358,9,24.4744318181818
123136,9,24.5714962121212
121673,9,24.3892045454545
121734,9,25.1704545454545
123221,9,25.0544507575758
121014,10,24.4862689393939
126440,9,23.3451704545455
123566,9,24.827178030303
121646,9,24.8082386363636
121547,9,26.4038825757576
126474,9,27.3579545454545
126427,9,26.5553977272727
123867,9,24.8129734848485
125295,10,24.3631628787879
121621,9,25.0544507575758
123177,11,19.2518939393939
120938,10,23.5464015151515
121049,10,24.7987689393939
125866,10,28.0610795454545
121789,10,23.9109848484848
124029,10,22.1022727272727
125760,10,30.3764204545455
120902,10,23.2315340909091
126586,10,20.5965909090909
125867,11,21.5625
125727,10,26.0961174242424
124878,10,26.9412878787879
122219,10,23.7973484848485
125736,10,23.8068181818182
124163,11,20.5255681818182
125159,11,21.4938446969697
120363,11,18.0842803030303
120096,11,18.7836174242424
120406,11,21.640625
125182,11,26.9152462121212
121746,11,22.109375
124162,11,19.4767992424242
121720,11,19.2168560606061
120521,11,22.5265151515152
119553,12,25.545928030303
120426,11,18.5558712121212
122249,11,24.0975378787879
120509,11,17.6846590909091
120650,11,20.5018939393939
120512,11,19.5052083333333
124588,12,11.6714285714286
124484,12,21.5833333333333
119995,12,15.3314393939394
119499,12,21.2125946969697
119856,12,17.7017045454545
120000,12,15.0137310606061
119218,12,19.0648674242424
119790,12,17.5894886363636
121778,9,26.9412878787879
124488,12,19.3210227272727
119680,12,20.0279356060606
122220,12,17.6321022727273
120216,12,23.9128787878788
119830,12,18.1770833333333
119938,12,16.5482954545455
119717,12,20.0066287878788
125747,10,24.8129734848485
120955,10,25.546875
120550,11,22.5383522727273
125763,10,27.4076704545455
125732,10,23.4067234848485
120880,10,28.1747159090909
126767,11,18.7713068181818
123120,9,25.5752840909091
124942,10,26.9318181818182
125764,10,24.079071969697
125765,10,23.5203598484848
125840,11,22.577178030303
125970,12,20.1349431818182
124694,12,14.6392045454545
123675,12,24.03125
125779,10,22.2064393939394
120408,11,16.780303030303
124403,12,25.4114583333333
124059,10,26.077178030303
121399,12,18.7604166666667
122243,12,15.7481060606061
120277,12,17.8650568181818
124347,12,14.8821022727273
124160,12,18.1302083333333
125169,11,18.9730113636364
119941,12,30.4592803030303
120463,11,28.9767992424242
125362,11,28.9767992424242
125388,11,29.6775568181818
124565,12,20.1923076923077
121617,9,25.5421401515152
124083,11,19.7372159090909
124161,11,16.9720643939394
124500,12,29.3953598484848
120243,12,19.547821969697
123576,11,20.0118371212121
119872,12,15.2258522727273
125092,11,21.9801136363636
119450,12,17.0075757575758
125450,11,5.42664670658683
121693,9,24.8484848484848
126423,9,25.0923295454545
122353,9,26.6193181818182
126443,9,24.6425189393939
126480,9,24.1832386363636
121584,9,25.4663825757576
126437,9,24.7561553030303
126481,9,24.0127840909091
121619,9,23.1676136363636
125357,9,26.4701704545455
121906,9,26.2997159090909
121733,9,23.671875
125466,9,24.3039772727273
124512,9,23.4280303030303
121543,9,25.0071022727273
120520,11,31.4616477272727
125869,10,26.4711174242424
124534,9,23.5487689393939
126587,9,27.1946022727273
121657,9,23.7831439393939
121642,9,25.0544507575758
121600,9,23.8186553030303
122233,10,25.0497159090909
126708,10,23.6647727272727
123005,10,26.9176136363636
124937,10,25.6226325757576
124574,10,26.4322916666667
120961,10,26.0250946969697
120963,10,22.8267045454545
124067,10,25.3267045454545
120926,10,28.1628787878788
121041,10,24.4460227272727
121648,9,24.5738636363636
125733,10,21.015625
123690,10,25.4900568181818
126588,11,18.1202651515152
121827,10,24.9289772727273
120899,10,23.125
125692,10,24.2400568181818
120906,10,22.8385416666667
126746,10,26.2736742424242
125181,11,23.6860795454545
124428,11,22.2372159090909
124157,11,17.2774621212121
120879,10,30.2580492424242
125178,11,19.4015151515152
122352,10,24.5028409090909
121111,11,22.4479166666667
123748,12,16.9412878787879
124031,11,18.0184659090909
120688,11,21.7239583333333
125028,11,29.0033143939394
125145,11,16.3139204545455
120456,11,18.0965909090909
125158,11,18.5132575757576
125396,12,17.360321969697
120488,11,26.077178030303
124873,11,20.5397727272727
120158,12,14.9550189393939
124395,12,18.139678030303
123240,12,20.0232007575758
119195,12,21.9749053030303
124533,12,13.5913825757576
119480,12,17.4427083333333
125992,12,18.6837121212121
124652,12,22.8243371212121
122208,12,22.0213068181818
121795,12,16.7992424242424
119744,12,29.2239583333333
120649,12,19.6302083333333
124641,12,25.2982954545455
124043,12,21.3849431818182
119959,12,23.1221590909091
124255,12,17.2769886363636
120998,10,23.7073863636364
123128,10,22.4928977272727
119380,12,11.9910037878788
121679,9,23.9559659090909
126441,9,23.4090909090909
120131,12,16.2954545454545
119430,12,21.3754734848485
124332,12,24.8006628787879
124393,12,21.9247159090909
120083,12,18.2073863636364
126467,9,25.4758522727273
121032,10,23.2504734848485
121780,12,17.9351325757576
125885,10,21.3541666666667
120460,11,20.2964015151515
120473,11,26.1316287878788
123593,9,25.0355113636364
121682,9,25.0852272727273
122698,9,25.0852272727273
120126,12,26.2466856060606
121561,9,22.0999053030303
125977,9,26.3991477272727
125102,11,25.1870265151515
125398,11,20.5255681818182
122299,11,21.4346590909091
124589,12,13.1652462121212
124586,12,13.4895833333333
125196,12,18.5932765151515
119413,12,19.3825757575758
121078,10,23.6931818181818
125889,11,18.1486742424242
124205,10,30.5658143939394
124482,12,29.1690340909091
119515,12,20.8267045454545
120444,11,28.9767992424242
122696,10,32.0880681818182
126455,9,25.6155303030303
119832,12,21.1695075757576
124103,11,35.6344696969697
124587,12,12.0285714285714
119794,12,17.6770833333333
