"name","address","latitude","longitude"
"Husson University","One College Circle, Bangor, ME 04401-2999",NA,NA
"Illinois Wesleyan University","1312 Park Street, Bloomington, IL 61701",40.490399582554,-88.9899594511419
"Ithaca College","953 Danby Rd, Ithaca, NY 14850-7000",42.4271674,-76.4989206
"James Madison University","800 South Main Street, Harrisonburg, VA 22807",38.440472,-78.87503
"Johns Hopkins University","3400 N Charles St, Baltimore, MD 21218-2688",39.3279338,-76.6184375
"Johnson & Wales University","8 Abbott Park Place, Providence, RI 02903-3703",41.82043925,-71.413462625
"Keene State College","229 Main Street,  MS 1504, Keene, NH 03435-1504",NA,NA
"Lafayette College","High St, Easton, PA 18042-1768",40.7008108,-75.2049101
"Lincoln Technical Institute","5151 Tilghman St, Allentown, PA 18104-9889",40.5953327,-75.5362793
"Lincoln Technical Institute","2299 Vauxhall Rd, Union, NJ 07083",40.70555,-74.275068
"Lincoln Technical Institute","9325 Snowden River Pky, Columbia, MD 21046",39.2064609,-76.8065829
"Lincoln Technical Institute","9191 Torresdale Ave, Philadelphia, PA 19136",40.0488223333333,-75.0021513030303
"Lincoln Technical Institute","One Plymouth Meeting #300, Plymouth Meeting, PA 19462",NA,NA
"Lincoln Technical Institute","70 McKee Dr, Mahwah, NJ 07430",41.086611963198,-74.1480088982091
"Lipscomb University","3901 Granny White Pike, Nashville, TN 37204-3951",36.1053328,-86.798045
"Lyndon State College","1001 College Rd, P.O. Box 919, Lyndonville, VT 05851-0919",NA,NA
"Manhattan College","Manhattan College Pky, Riverdale, NY 10471-4098",NA,NA
"Marist College","3399 North Road, Poughkeepsie, NY 12601",41.726896,-73.932586
"Marquette University","Clark Hall, Room 341 530 N. 16th Street PO Box 1881, Milwaukee, WI 53201-1881",NA,NA
"Merrimack College","315 Turnpike St. A21, North Andover, MA 01845",NA,NA
"Miami University","501 East High St, Oxford, OH 45056",39.510309,-84.735229
"Michigan State University","450 Administration Bldg., East Lansing, MI 48824-1046",NA,NA
"Middlebury College","Old Chapel, Middlebury, VT 05753",44.00908695,-73.1760635083639
"Molloy College","1000 Hempstead Ave, Rockville Centre, NY 11571-5002",40.684788,-73.625864
"Mount Holyoke College","50 College Street, South Hadley, MA 01075-1496",42.246201,-72.580692
"Mount Ida College","777 Dedham Street, Newton Centre, MA 02459",42.294212,-71.1928960028913
"Navarro College","3200 W 7th Avenue, Corsicana, TX 75110",32.074084,-96.498937
"New England College","62 North Main Street, Concord, NH 03222",43.2057888793103,-71.5362817931035
"New England College","98 Bridge St, Henniker, NH 03242",43.178388,-71.821962
"New York University","70 Washington Square South, New York, NY 10012-1091",40.72942865,-73.9972178045625
"Newbury College","129 Fisher Ave, Brookline, MA 02445",42.3313452,-71.1438814
"Nichols College","123 Center Road, P.O. Box 5000, Dudley, MA 01571-5000",NA,NA
"Northeastern University","360 Huntington Ave, 110CH, Boston, MA 02115",NA,NA
"Norwich University","158 Harmon Drive, Northfield, VT 05663-1004",44.13917905,-72.6612695464237
"Nova Southeastern University","3301 College Ave, Fort Lauderdale, FL 33314-7796",NA,NA
"Pace University","1 Pace Plaza, New York, NY 10038-1598",40.7116674,-74.0054241
"Palm Beach Atlantic University","900 South Olive Avenue, West Palm Beach, FL 33416-4708",26.7048899,-80.0508515834161
"Pennsylvania State University","201 Old Main Building, University Park, PA 16802-1589",NA,NA
"Plymouth State University","17 High Street, MSC #1 - Speare Building, Plymouth, NH 03264",NA,NA
"Pomona College","550 North College Avenue, Claremont, CA 91711-6301",34.0991532635151,-117.714818513645
"Providence College","1 Cunningham Square, Providence, RI 02918",41.84366,-71.434776527173
"Providence College","1 Cunningham Square, Providence, RI 02918",41.84366,-71.434776527173
"Purdue University","Hovde Hall of Administration, West Lafayette, IN 47907-2040",40.4281851,-86.9143868480843
"Purdue University","Hovde Hall of Administration, West Lafayette, IN 47907-2040",40.4281851,-86.9143868480843
"Quinnipiac University","275 Mount Carmel Ave, Hamden, CT 06518",41.4214116162085,-72.895062839924
"Rhode Island College","600 Mount Pleasant Ave, Providence, RI 02908",41.84159615,-71.4628702077114
"Rice University","6100 S Main, Houston, TX 77005",NA,NA
"Rochester Institute of Technology","1 Lomb Memorial Dr, Rochester, NY 14623-5603",NA,NA
"Roger Williams University","One Old Ferry Rd, Bristol, RI 02809-2921",41.644933,-71.259728
"Rollins College","1000 Holt Ave, Winter Park, FL 32789-4499",28.5925001,-81.3489577
"Saint Anselm College","100 Saint Anselm Drive, Manchester, NH 03102-1310",42.988073,-71.510687
"Salem State University","352 Lafayette St, Salem, MA 01970",42.5023994,-70.8903484462766
"Samford University","800 Lakeshore Drive, Birmingham, AL 35229-2240",39.974102,-74.7309
"San Diego State University","5500 Campanile Dr, San Diego, CA 92182-8000",32.7729919,-117.0736735
"Scripps College","1030 N Columbia Ave, Claremont, CA 91711-3905",NA,NA
"Seton Hall University","400 South Orange Ave, South Orange, NJ 07079-2697",40.747953,-74.270899
"Skidmore College","815 North Broadway, Saratoga Springs, NY 12866-1632",43.0958988865961,-73.7796611680201
"Smith College","College Hall 201, Northampton, MA 01063",NA,NA
"Southeastern University","501 I St SW, Washington, DC 20024-2788",38.8796966,-77.0195368532726
