"STUDENT_NUMBER","GRADE_LEVEL","WEEKHOURS"
124036,9,18.8162878787879
121672,9,20.8925189393939
121736,9,21.624053030303
126411,9,21.6737689393939
121609,9,22.1235795454545
121570,9,21.3754734848485
121535,9,21.500946969697
126478,9,21.5577651515152
126486,9,21.2192234848485
124868,9,20.295928030303
126444,9,22.8811553030303
122728,9,21.3802083333333
121607,9,22.3058712121212
122691,9,22.265625
125405,9,22.4479166666667
122281,9,19.0956439393939
121567,9,22.204071969697
123162,9,19.2305871212121
123965,9,26.1197916666667
125952,11,17.8148674242424
126448,9,17.6467803030303
126581,9,22.2324810606061
121837,9,23.7405303030303
126484,11,18.5464015151515
120882,10,21.2902462121212
122530,10,24.375
125801,10,24.6212121212121
125404,10,21.8300189393939
122276,9,23.0089962121212
120962,10,19.6922348484848
126439,10,21.545928030303
120993,10,21.1979166666667
120939,10,22.1590909090909
125359,10,21.4725378787879
121003,10,21.0535037878788
125730,10,20.4924242424242
122275,10,20.1657196969697
120959,10,19.7916666666667
120995,10,23.0160984848485
125759,10,21.1221590909091
125735,10,19.9763257575758
121025,10,21.6311553030303
121044,10,21.8631628787879
125297,9,20.3882575757576
126392,10,21.1055871212121
125360,10,22.7722537878788
126782,11,21.0250946969697
120888,10,21.1055871212121
120892,10,19.8555871212121
125748,10,20.4427083333333
122242,10,22.8953598484848
124715,10,21.3683712121212
122712,10,22.0691287878788
121027,10,20.608428030303
123600,11,18.5397727272727
126766,11,21.7750946969697
120502,11,22.4199810606061
125124,11,21.5994318181818
120043,11,19.7703598484848
125532,11,18.2433712121212
125240,11,20.0359848484848
124975,11,19.8058712121212
125120,11,19.4772727272727
125180,11,22.5350378787879
124429,11,19.0227272727273
124939,11,17.9450757575758
124508,11,16.9649621212121
125882,11,17.2163825757576
121359,11,19.1216856060606
123783,11,16.1174242424242
120210,12,19.1875
123801,12,24.0326704545455
120241,12,23.6074810606061
122250,12,13.0374053030303
119848,12,14.6136363636364
119704,12,15.7698863636364
125544,12,16.3399621212121
120523,11,17.7249053030303
121697,12,17.3555871212121
125883,11,21.6742424242424
119607,12,15.8617424242424
119293,12,20.3579545454545
124550,12,17.7249053030303
120728,12,17.5326704545455
119650,12,13.3664772727273
121630,9,20.3077651515152
121381,12,13.8068181818182
120794,12,18.1368371212121
125112,11,18.6624053030303
119359,12,15.0094696969697
126828,12,18.3925189393939
125728,10,20.3243371212121
122869,9,22.6964962121212
